Sample_name,Sample_type,replication,Time_point,Treated_Control,Treatment_Control
P6.1.0,P6,1,0,Control,Control
P6.1.1.C,P6,1,1,Control,Control
P6.1.1.P,P6,1,1,Treated,PMB4
P6.1.4.C,P6,1,4,Control,Control
P6.1.4.P,P6,1,4,Treated,PMB4
P6.2.0,P6,2,0,Control,Control
P6.2.1.C,P6,2,1,Control,Control
P6.2.1.P,P6,2,1,Treated,PMB4
P6.2.4.C,P6,2,4,Control,Control
P6.2.4.P,P6,2,4,Treated,PMB4
P6.3.0,P6,3,0,Control,Control
P6.3.1.C,P6,3,1,Control,Control
P6.3.1.P,P6,3,1,Treated,PMB4
P6.3.4.C,P6,3,4,Control,Control
P6.3.4.P,P6,3,4,Treated,PMB4
PAK.1.0,PAK,1,0,Control,Control
PAK.1.1.C,PAK,1,1,Control,Control
PAK.1.4.C,PAK,1,4,Control,Control
PAK.2.0,PAK,2,0,Control,Control
PAK.2.1.C,PAK,2,1,Control,Control
PAK.2.4.C,PAK,2,4,Control,Control
PAK.3.0,PAK,3,0,Control,Control
PAK.3.1.C,PAK,3,1,Control,Control
PAK.3.4.C,PAK,3,4,Control,Control
