PeakID,Mass,RT,FORMULA,Putative metabolite,confidence,Map,Pathway,PAK-1-0,PAK-2-0,PAK-3-0,PAK-4-0,PAK-5-0,PAK-1-1-C,PAK-2-1-C,PAK-3-1-C,PAK-4-1-C,PAK-5-1-C,PAK-1-1-P,PAK-2-1-P,PAK-3-1-P,PAK-4-1-P,PAK-5-1-P,PAK-1-4-C,PAK-2-4-C,PAK-3-4-C,PAK-4-4-C,PAK-5-4-C,PAK-1-4-P,PAK-2-4-P,PAK-3-4-P,PAK-4-4-P,PAK-5-4-P,PAK-1-24-C,PAK-2-24-C,PAK-3-24-C,PAK-4-24-C,PAK-5-24-C,PAK-1-24-P,PAK-2-24-P,PAK-3-24-P,PAK-4-24-P,PAK-5-24-P,P6-1-0,P6-2-0,P6-3-0,P6-4-0,P6-5-0,P6-1-1-C,P6-2-1-C,P6-3-1-C,P6-4-1-C,P6-5-1-C,P6-1-1-P,P6-2-1-P,P6-3-1-P,P6-4-1-P,P6-5-1-P,P6-1-4-C,P6-2-4-C,P6-3-4-C,P6-4-4-C,P6-5-4-C,P6-1-4-P,P6-2-4-P,P6-3-4-P,P6-4-4-P,P6-5-4-P,P6-1-24-C,P6-2-24-C,P6-3-24-C,P6-4-24-C,P6-5-24-C,P6-1-24-P,P6-2-24-P,P6-3-24-P,P6-4-24-P,P6-5-24-P,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
p4219,146.1054971,0.82554908,C6H14N2O2,L-Lysine,8,Amino Acid Metabolism,Lysine biosynthesis__Lysine degradation__Biotin metabolism__Alkaloid biosynthesis II,495473.5035,306598.1708,436402.1653,511009.3234,535114.6579,769337.627,347968.3359,391490.9179,480419.6942,720164.5668,482615.4224,333102.1203,209712.4089,431266.3966,423815.8388,479244.9759,323481.0986,706258.5206,1233772.511,312308.4216,353259.9036,313354.9819,747815.4157,274256.1738,534036.3474,1209659.76,596000.6736,1883300.969,1529621.642,1060574.027,1403688.239,598789.1633,1109290.367,1675591.01,753133.6813,310093.3586,259000.0559,239487.946,296064.5959,470543.9916,380531.9676,444937.1341,255985.8034,264381.0916,364262.6003,853544.0898,366966.3708,317407.9571,671010.7431,791689.012,616990.8419,751679.8738,632129.8441,308981.3122,824911.0108,1364504.899,633238.18,700941.8835,562868.3129,907298.7203,1973925.306,960284.9356,1280800.559,1709733.125,1463451.813,1386700.49,949372.2719,751443.7007,2128531.561,1296731.726,464417.948,457083.297,443987.7467,429437.6092,467799.2767,482388.6028,461957.8718,569354.0285
n1141,147.0532137,0.910298872,C5H9NO4,L-Glutamate,8,Amino Acid Metabolism,Arginine and proline metabolism__Glutamate metabolism__Histidine metabolism__D-Glutamine and D-glutamate metabolism__Glutathione metabolism_Butanoate metabolism_C5-Branched dibasic acid metabolism_Porphyrin and chlorophyll metabolism_Nitrogen metabolism,89551.50486,204289.557,279396.2846,187846.996,101438.1666,203735.4957,151058.9397,133060.5723,117757.5427,156642.1862,131289.5492,185751.1023,108832.8319,193403.5319,91835.4271,130302.6173,104816.8912,168638.27,1276225.523,111841.9253,110288.0734,119342.8273,123411.8668,124838.0454,92203.22295,985720.2687,185732.2734,1938993.13,1670247.57,6938233.254,489271.0771,164184.0211,699018.7489,1286474.319,1540226.499,200675.767,211779.8677,120634.5611,207113.7476,134385.4924,152946.9481,261998.1565,182587.1656,183511.6214,137653.0102,148229.0311,253871.9784,187154.2252,434319.9481,158410.2055,209529.5064,251539.48,257378.3346,137627.568,135016.4367,370639.0152,197263.1268,181901.443,244240.5287,89344.46465,1109916.509,581396.4763,598352.9213,2288073.759,10756305.68,846883.5853,618347.2369,239807.8364,2918438.053,5164028.144,235606.7184,213837.501,229789.5971,236840.8723,225729.1622,239470.4848,215714.0687,233912.4472
p5346,149.0510964,0.866517735,C5H11NO2S,L-Methionine,8,Amino Acid Metabolism,Methionine metabolism,285150.725,279805.5228,382382.5855,342363.6762,319502.2603,336381.3346,233155.8663,246668.0836,314448.9432,362096.4242,308924.6865,280767.3174,177418.6527,352697.2365,395167.0729,265201.9031,230663.0025,368815.7102,430529.5462,368055.5728,220883.4916,266341.0569,301796.6773,235628.2374,341505.7418,292849.1728,176185.4071,174136.8732,295360.1815,207105.7753,326097.7861,232385.2871,256023.3457,494623.1232,139207.7221,234441.3309,295329.3319,204019.0157,247018.7887,242805.0433,295232.7396,289485.4297,249376.5144,321814.6152,270767.704,412855.4512,385801.6432,308642.652,472096.877,493207.1269,299634.5799,251805.1853,355283.9802,232962.6814,395383.913,395692.8319,315836.3256,328402.3195,362793.4878,433797.7848,385849.2976,227725.7189,299675.2625,228719.1337,115028.2384,367393.1274,239391.7317,437855.2361,290669.7312,170257.9784,198489.132,232627.3393,227642.2426,221574.653,225091.4442,218811.0921,216725.5237,200031.0717
n2546,155.0695636,0.958474123,C6H9N3O2,L-Histidine,8,Amino Acid Metabolism,Histidine metabolism__beta-Alanine metabolism,250024.3164,236233.0427,258182.4433,316132.7082,306347.7928,469484.4002,220463.7081,218017.7273,354853.7148,428225.7567,209204.4844,167975.1144,130789.2052,266167.9695,191157.6959,284656.3887,211848.9983,350060.5129,582778.4257,286347.4796,186186.3331,183376.6937,342549.4038,200998.7231,216846.5918,233367.9917,166457.3532,239052.6244,271525.9346,618630.2846,261621.2396,193540.3977,180106.7953,397421.4059,203169.5111,204985.7278,196698.662,136889.5995,183648.8819,284460.1567,356471.3553,340494.2177,151941.4783,209119.9339,228234.2634,488375.5995,315020.223,160050.1566,350302.0027,509521.3634,211662.7004,394123.3038,290575.4896,181476.7619,361935.4436,414661.7885,316595.4694,262371.9638,262229.7604,311824.0365,531136.366,256491.7589,257166.8829,256266.336,832737.2971,315154.3303,226220.4701,203720.4946,340783.9221,622388.11,161685.7465,216623.8113,208309.9923,204724.3518,210228.3803,195328.883,193961.7677,195434.364
p4196,175.0958229,0.871524682,C6H13N3O3,L-Citrulline,8,Amino Acid Metabolism,Arginine and proline metabolism,978179.62,839644.6336,783453.8925,911061.7147,1341573.681,909554.3731,570569.0239,666194.5728,938983.0577,1041861.393,643270.9921,709212.2776,481940.5337,898408.9283,911597.5228,905034.4225,961376.5514,1247341.987,1492962.24,1139758.949,747017.741,912228.6887,1038455.698,695652.5643,796840.9868,419097.5315,636579.1556,395189.3175,608559.5143,316160.1422,540506.0536,614768.4853,458550.9459,858758.9336,378686.9895,798155.1979,705984.3832,838195.2199,785293.3128,1254225.295,1215564.228,930735.2931,736370.7333,775765.8599,1015226.994,1756170.188,1007015.255,874857.6599,1279809.132,1526424.892,1069910.5,1582639.362,1496268.929,968129.2636,1694149.369,1624963.858,1304543.477,1253303.033,983219.3009,1578274.068,839731.2303,632805.9078,711932.6549,748492.4121,1098768.074,524197.4896,384857.7526,858184.7165,712239.2652,832996.1816,646566.2438,684356.785,786927.797,772533.784,717688.6113,818755.3758,795538.0762,818786.1211
n2761,181.0738823,0.834337414,C9H11NO3,L-Tyrosine,8,Amino Acid Metabolism,"Tyrosine metabolism__Phenylalanine, tyrosine and tryptophan biosynthesis__Novobiocin biosynthesis__Thiamine metabolism__Phenylpropanoid biosynthesis__Alkaloid biosynthesis I",194152.5731,128122.5014,156096.6683,121569.3261,235992.6616,199819.6177,153664.9033,100819.5057,140039.6878,237190.5352,95079.35658,84776.20428,95665.35812,102871.0056,107395.8434,126546.0903,102473.2733,156170.6176,458382.9648,192987.5579,83762.72126,114853.3282,110524.11,109852.067,194789.482,162735.7279,188278.6902,167367.3988,171917.2656,175997.3118,150002.7447,113954.4607,164787.6044,160301.1579,147446.2497,142715.2671,111756.9781,72599.04516,131940.3513,263135.6825,241509.6742,128578.7541,118704.8235,120206.5818,145303.3968,242169.8078,126244.8262,87153.24111,196660.7562,341546.9888,136480.5341,150522.6119,158648.5105,90060.23028,170975.0759,116157.4812,104362.6053,117019.52,119326.0813,156738.6744,147028.0894,119041.144,141693.5721,160407.3421,260757.6786,165720.7767,107285.2485,173334.8595,185511.8343,222056.819,121841.8477,96786.08473,86544.61859,122843.4673,118477.5398,111530.0572,139707.3157,144072.0667
p5997,195.089596,0.811995042,C10H13NO3,L-Tyrosine methyl ester,8,Amino Acid Metabolism,Undefined,65851.9315,56677.34364,109547.8222,132183.9949,124902.0241,72734.72779,36687.51934,87670.05522,51682.36414,116585.8524,31047.9509,81735.22906,27329.62604,50003.65269,39033.9826,99163.11177,60623.12203,93390.38781,92623.25137,67149.89766,62416.00362,47295.79297,51670.03659,43389.84561,51569.09018,61193.99281,67566.69269,93978.62872,59737.73608,97004.27212,92144.07585,66730.60029,58813.84039,60769.97247,94378.72348,125371.5157,99442.6617,88966.57535,92380.57544,77900.2025,59972.87078,75669.24908,58827.33565,62689.35474,55202.85359,67022.34858,72819.81851,53138.78724,73409.62784,49457.88351,88409.07286,60290.57251,50610.58593,50322.0508,63477.92795,86911.63156,70902.63984,38292.45196,45981.29324,76930.74371,74878.58768,56227.66312,44674.06564,146093.6936,56500.04419,60253.77299,54030.01852,45620.76637,57820.93396,86462.42508,59284.20866,48101.68702,33436.77316,36069.95353,43413.08512,52839.32208,61199.22345,51235.98081
n2979,219.1105081,0.867143789,C9H17NO5,Pantothenate,8,Amino Acid Metabolism,beta-Alanine metabolism__Pantothenate and CoA biosynthesis,75277.0393,108684.5705,62484.18847,126686.0452,99220.05979,234089.7758,118163.63,106718.1774,113965.4053,121260.0391,109162.5069,27579.35275,28647.23194,40423.21056,43119.78643,19595.30429,28595.77972,21714.73205,48234.21768,30222.92551,0,54749.25017,92565.03641,38861.06756,28919.89051,0,12271.34552,10635.14339,11360.104,71191.42293,0,0,0,20982.55219,16474.23573,81621.42435,0,0,0,72484.52038,148697.2485,96277.73972,72090.56056,42742.41837,42789.26971,213674.9522,81091.82339,45804.58287,84601.77198,184722.5038,93333.89857,90266.50442,28044.57823,0,42473.10456,69651.5596,34380.28253,37453.58568,0,38100.56468,28881.03102,23418.35488,10909.58018,30072.03892,268589.3543,21281.41359,0,0,50494.80958,97571.85559,49692.73024,69531.52342,36782.64355,31695.68516,30871.44083,36319.40744,32889.27761,31517.97373
p2906,297.0897309,0.823514633,C11H15N5O3S,5'-Methylthioadenosine,8,Amino Acid Metabolism,Arginine and proline metabolism__Methionine metabolism__Zeatin biosynthesis,762013.9449,325677.3687,527675.5192,593014.9248,1074715.934,970277.619,336966.8562,522909.3635,649444.5083,1119169.362,146587.1517,81402.6565,48572.61922,115425.4632,61975.98255,433289.5939,413943.7922,591646.2459,2704195.85,428268.9,253736.364,309556.2064,533789.9781,157755.2031,210430.0534,2015208.78,692588.2812,426783.3834,2322274.968,7113615.017,2018620.651,683512.5334,208890.5107,2103486.048,1863244.642,31409.61436,40788.25786,41020.77773,15699.9396,40309.36668,43876.00807,35983.95277,14388.92727,0,29684.78949,35098.98521,39170.14517,6322.006901,245782.6007,53048.86628,43858.31061,76632.69077,92509.36765,46870.40549,164672.2549,136144.6487,69836.51799,68811.92811,104617.5587,135756.922,732934.7353,271321.4925,1568701.915,619147.0883,2134187.943,347916.0065,184507.7425,648003.3098,577081.1019,1412906.971,189609.1327,300043.9197,217088.9206,258401.1221,223037.7667,266631.5136,244869.4718,293875.5104
p4309,354.1479026,1.133500223,C14H22N6O3S,S-Adenosylmethioninamine,8,Amino Acid Metabolism,Arginine and proline metabolism__Methionine metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353568.8479,0,0,0,0,150285.4627,0,0,142612.7689,70528.35237,46075.54245,98733.54554,297470.1416,69302.7517,78537.82112,137017.4905,93731.43987,170615.9065,224474.0578,224933.6188,110047.0645,299043.0191,487355.0737,335026.1592,234188.4962,283652.7571,34356.60355,175243.4998,225124.6887,203729.4551,138395.2966,120267.8943,137669.2848,345821.0114,205473.5588,0,326691.176,2035034.342,327466.03,237407.3318,13252.1495,245473.0218,1474668.257,65360.24935,101676.6708,87303.17968,95585.59213,79946.97825,88010.65713,101782.7356,55824.1436
