run_accession,Sample_name
SRR7875540,P6.2.24.P
SRR7875541,P6.3.24.P
SRR7875542,P6.2.1.P
SRR7875543,P6.3.1.P
SRR7875544,P6.3.1.C
SRR7875545,P6.1.1.P
SRR7875546,P6.1.1.C
SRR7875547,P6.2.1.C
SRR7875548,P6.2.0
SRR7875549,P6.3.0
SRR7875550,PAK.3.24.P
SRR7875551,P6.1.0
SRR7875552,PAK.3.1.C
SRR7875553,PAK.2.1.C
SRR7875554,PAK.2.1.P
SRR7875555,PAK.1.1.P
SRR7875556,PAK.2.0
SRR7875557,PAK.1.0
SRR7875558,PAK.1.1.C
SRR7875559,PAK.3.0
SRR7875560,PAK.1.4.C
SRR7875561,PAK.3.1.P
SRR7875562,P6.1.24.P
SRR7875563,P6.3.24.C
SRR7875564,P6.3.4.P
SRR7875565,P6.2.4.P
SRR7875566,P6.2.24.C
SRR7875567,P6.1.24.C
SRR7875568,P6.2.4.C
SRR7875569,P6.1.4.C
SRR7875570,P6.1.4.P
SRR7875571,P6.3.4.C
SRR7875572,PAK.3.24.C
SRR7875573,PAK.2.24.C
SRR7875574,PAK.1.24.C
SRR7875575,PAK.3.4.P
SRR7875576,PAK.2.4.P
SRR7875577,PAK.1.4.P
SRR7875578,PAK.3.4.C
SRR7875579,PAK.2.4.C
SRR7875580,PAK.2.24.P
SRR7875581,PAK.1.24.P
