"Biomarkers for left hand group from scores plot","VIP","Name"
"ABCB6",2.1249749766955,"ABCB6"
"ABHD12",2.47478767540064,"ABHD12"
"ABHD4",1.98969191372666,"ABHD4"
"ACOT4",1.92679732506235,"ACOT4"
"ACTR10",1.89498786512939,"ACTR10"
"ACVR2A",2.16633661536367,"ACVR2A"
"ADAM9",1.9680356377723,"ADAM9"
"ADAMTS15",1.99785966963595,"ADAMTS15"
"ADCY6",2.56350585864668,"ADCY6"
"ADGRL1",1.91525419081443,"ADGRL1"
"ADGRL2",1.95493473749647,"ADGRL2"
"ADPRHL1",1.89122791676752,"ADPRHL1"
"AFAP1",2.70721989988748,"AFAP1"
"AFF4",2.0706153965638,"AFF4"
"AGRN",2.40601297062334,"AGRN"
"AHNAK",1.91963931537664,"AHNAK"
"AHNAK2",2.57405744388791,"AHNAK2"
"AHR",2.09827399615189,"AHR"
"AJUBA",2.1207263391134,"AJUBA"
"AKR1C2",2.22274844826991,"AKR1C2"
"AKT1S1",1.94333986164239,"AKT1S1"
"ALCAM",2.36252634688169,"ALCAM"
"ALDH3A2",2.09656339518278,"ALDH3A2"
"ALDH7A1",2.49222404193008,"ALDH7A1"
"ALS2CL",1.99672373160052,"ALS2CL"
"AMIGO2",2.34876287969037,"AMIGO2"
"AMOTL2",2.77610252261674,"AMOTL2"
"ANXA2",2.33800920099656,"ANXA2"
"ANXA2P1",2.10264662455947,"ANXA2P1"
"ANXA2P2",2.20451041388729,"ANXA2P2"
"ANXA5",2.05804760904583,"ANXA5"
"AP1M2",1.99976875467388,"AP1M2"
"APBB1",2.19958920414731,"APBB1"
"APLP2",2.09220553119626,"APLP2"
"APP",2.52984376773324,"APP"
"ARF4",1.99044106414027,"ARF4"
"ARHGAP29",2.413211752779,"ARHGAP29"
"ARHGAP39",2.15152877422468,"ARHGAP39"
"ARHGEF17",2.38722837128794,"ARHGEF17"
"ARHGEF28",2.70723560331679,"ARHGEF28"
"ARPIN",2.28093820971319,"ARPIN"
"ARSD",2.0590223695512,"ARSD"
"ARSJ",2.53023230188208,"ARSJ"
"ASAP1",2.10315858275688,"ASAP1"
"ASAP2",2.43130494954759,"ASAP2"
"ASAP3",1.94903524433496,"ASAP3"
"ATG14",2.00523890585611,"ATG14"
"ATL3",2.2601560090229,"ATL3"
"ATP6V1C1",2.14622616422486,"ATP6V1C1"
"ATP8B1",2.75036134204035,"ATP8B1"
