"Biomarkers for right hand group from scores plot","VIP","Name"
"ABCB10",2.08404290777301,"ABCB10"
"ABCB7",2.25151337637316,"ABCB7"
"ABI1",1.90195883246475,"ABI1"
"ACADM",2.03079230647675,"ACADM"
"ACVR2B",1.9693189120823,"ACVR2B"
"ADGRE2",1.94456675842024,"ADGRE2"
"ADRBK2",1.96621165438446,"ADRBK2"
"AES",2.02389309729668,"AES"
"AIF1",2.19350675647737,"AIF1"
"ALOX5AP",2.31240366469722,"ALOX5AP"
"ANP32B",2.25725823243521,"ANP32B"
"APOBEC3C",2.06899142727462,"APOBEC3C"
"AQP9",1.88639585506897,"AQP9"
"ARHGAP19",1.96158033186663,"ARHGAP19"
"ARHGAP25",2.22847957820063,"ARHGAP25"
"ARHGAP4",2.36487717229176,"ARHGAP4"
"ARHGAP9",2.5640244529813,"ARHGAP9"
"ARHGDIB",2.45892159340446,"ARHGDIB"
"ARHGEF6",2.45001641390422,"ARHGEF6"
"ARID1A",1.9537131580481,"ARID1A"
"ARID3A",2.05688622083499,"ARID3A"
"ARID3B",2.29850964298108,"ARID3B"
"ARID5A",2.09892686876964,"ARID5A"
"ASF1B",1.91425872364941,"ASF1B"
"asparagine",1.99955358011737,"asparagine"
"ATAD5",2.11224495989267,"ATAD5"
"ATG4A",2.06284896017628,"ATG4A"
"BCL2L2.PABPN1",2.08161181216239,"BCL2L2-PABPN1"
"BHLHE23",1.95504136526647,"BHLHE23"
"BIN2",2.54228659917025,"BIN2"
"BLM",2.25513549568487,"BLM"
"BORA",1.90050090100928,"BORA"
"BRCA1",2.37261383578546,"BRCA1"
"BRCA2",1.98549757091357,"BRCA2"
"BUB1B",2.00017983411144,"BUB1B"
"BZRAP1.AS1",2.58135796774876,"BZRAP1-AS1"
"C9orf78",2.05177984265729,"C9orf78"
"CACNA2D4",1.95167052798275,"CACNA2D4"
"CARD8.AS1",2.44591718809778,"CARD8-AS1"
"CASC5",1.9663305212353,"CASC5"
"CASP2",2.13737483818509,"CASP2"
"CASP3",1.99522778739698,"CASP3"
"CBFB",2.21055173084499,"CBFB"
"CCDC28A",2.20475866505589,"CCDC28A"
"CCDC88B",2.24795924761284,"CCDC88B"
"CCND3",2.43880751846134,"CCND3"
"CCP110",2.05249664432938,"CCP110"
"CD247",2.02351056775717,"CD247"
"CD300A",2.0883371067666,"CD300A"
"CD3D",2.09822853039263,"CD3D"
"CD52",1.92043064864267,"CD52"
"CD53",2.57992766202874,"CD53"
"CD84",1.94585888475448,"CD84"
"CD93",1.88622079593824,"CD93"
"CDC25A",1.96286264125301,"CDC25A"
"CDCA5",2.06675913146782,"CDCA5"
"CDK6",2.14826538098579,"CDK6"
"CECR1",2.03912096295476,"CECR1"
"CELF2",2.19203286670878,"CELF2"
"CENPC",2.38831061029016,"CENPC"
"CENPH",2.11943603907793,"CENPH"
"CENPU",1.93206879741939,"CENPU"
"CEP128",1.98986170486186,"CEP128"
"CEP152",2.46490006772356,"CEP152"
"CEP57",1.97568669224527,"CEP57"
"CEP85",1.96863302168192,"CEP85"
"CHCHD2",1.96411668192949,"CHCHD2"
"CHD4",2.18580282179511,"CHD4"
"CHST11",1.92298649172775,"CHST11"
"CKLF.CMTM1",2.16069647226089,"CKLF-CMTM1"
"CLEC2B",2.03660563425866,"CLEC2B"
"CLK1",2.16743263922905,"CLK1"
"CMPK2",1.94021415003586,"CMPK2"
"CNOT1",2.08704377291641,"CNOT1"
"CNTRL",2.59572069580363,"CNTRL"
"CORO1A",2.68369081293173,"CORO1A"
"CORO7",2.32609532083703,"CORO7"
"COX7A2L",1.8907164503112,"COX7A2L"
"CRLF3",2.15745545387733,"CRLF3"
"CSK",2.03703901477122,"CSK"
"CYFIP2",1.95149852031091,"CYFIP2"
"CYTH1",2.09544749530056,"CYTH1"
"CYTH4",2.00641333893923,"CYTH4"
"CYTIP",1.98894653831427,"CYTIP"
"DAZAP1",2.36091756785667,"DAZAP1"
"DBF4",2.06683919772795,"DBF4"
"DCAF15",1.90445287757982,"DCAF15"
"DCK",2.25016642261474,"DCK"
"DDX26B",2.63944106870624,"DDX26B"
"DDX39A",1.94161395071574,"DDX39A"
"DEF6",2.24015820575699,"DEF6"
"DENND1C",2.11517268692642,"DENND1C"
"DENND4B",1.90556516905495,"DENND4B"
"DHFR",2.0375009629122,"DHFR"
"DLEU2L",2.24964581806527,"DLEU2L"
"DNA2",1.90866590400083,"DNA2"
"DOCK10",1.97072211558821,"DOCK10"
"DOCK2",2.70188921795614,"DOCK2"
"DOCK8",2.27311822342877,"DOCK8"
"DTL",2.3305865433237,"DTL"
"DUT",2.42234659812645,"DUT"
"EDC4",1.9061964353522,"EDC4"
"EDEM1",2.39852136360798,"EDEM1"
"EIF3L",2.03117486347848,"EIF3L"
"ELF1",2.52966935339721,"ELF1"
"ELMO1",2.5705429651906,"ELMO1"
"EVI2A",2.12217752635301,"EVI2A"
"EVI2B",2.14838430940021,"EVI2B"
"EXOSC8",2.20160564476527,"EXOSC8"
"EZH2",1.97254745133813,"EZH2"
"FAM126B",1.91527049972246,"FAM126B"
"FAM46C",2.13542532286882,"FAM46C"
"FAM78A",2.53578749810535,"FAM78A"
"FANCI",2.18299277856855,"FANCI"
"FASTKD1",1.95262161127278,"FASTKD1"
"FBXL14",1.93072292730701,"FBXL14"
"FBXO5",2.00686052171174,"FBXO5"
"FEN1",2.00856027405666,"FEN1"
"FERMT3",2.72859756081769,"FERMT3"
"FGD3",1.97556824079523,"FGD3"
"FMNL1",2.19048768728068,"FMNL1"
"FOXN2",1.91228525137642,"FOXN2"
"GFI1",2.28735504257867,"GFI1"
"GIMAP2",2.60295037546994,"GIMAP2"
"GIMAP6",2.03996981851697,"GIMAP6"
"GMFG",2.77533778402162,"GMFG"
"GMNN",1.92909073936206,"GMNN"
"GNG2",2.01820886581051,"GNG2"
"GPR18",2.48181535945399,"GPR18"
"GPSM3",2.36015897265678,"GPSM3"
"GRAMD4",2.37834824451751,"GRAMD4"
"GTSF1",2.22232356587329,"GTSF1"
"GVINP1",2.31379227636473,"GVINP1"
"H2AFZ",1.91392022014972,"H2AFZ"
"HADH",1.93183809194269,"HADH"
"HAUS5",1.94777303408914,"HAUS5"
"HCLS1",2.90993356014544,"HCLS1"
