"Biomarkers for left hand group from scores plot","VIP","Name"
"gene.Y880_RS00170",2.19578138022634,NA
"gene.Y880_RS00225",2.22219934029285,NA
"gene.Y880_RS00230",1.96276379347563,NA
"gene.Y880_RS00740",1.92416526197812,NA
"gene.Y880_RS01100",2.69677938233512,NA
"gene.Y880_RS01480",2.12046566957173,NA
"gene.Y880_RS01535",2.1049801055377,NA
"gene.Y880_RS01705",1.90335891692347,NA
"gene.Y880_RS01720",1.84490840085689,NA
"gene.Y880_RS03525",1.94745757919977,NA
"gene.Y880_RS03565",2.04596096161053,NA
"gene.Y880_RS03750",2.05533623022339,NA
"gene.Y880_RS03755",2.23494803957116,NA
"gene.Y880_RS03800",2.44042654504812,NA
"gene.Y880_RS03840",2.88199823783761,NA
"gene.Y880_RS03855",1.87923060591077,NA
"gene.Y880_RS03865",2.08747633891372,NA
"gene.Y880_RS03870",2.56087208844454,NA
"gene.Y880_RS03875",3.19569980395709,NA
"gene.Y880_RS03880",1.95688888286472,NA
"gene.Y880_RS03885",2.04681678479811,NA
"gene.Y880_RS03895",2.16077325707242,NA
"gene.Y880_RS03900",2.04557634634793,NA
"gene.Y880_RS03905",2.08855907154133,"cysC"
"gene.Y880_RS03925",2.01680254027765,NA
"gene.Y880_RS03950",1.93939040012069,NA
"gene.Y880_RS04305",2.99177832754752,NA
"gene.Y880_RS04310",2.41540047970193,NA
"gene.Y880_RS04465",1.87468864661852,"pyk"
"gene.Y880_RS04495",2.51122745607637,NA
"gene.Y880_RS04500",2.24186807467074,"moaA"
"gene.Y880_RS04650",3.06424815057825,NA
"gene.Y880_RS04825",4.14157210531958,NA
"gene.Y880_RS04830",4.18213706820798,NA
"gene.Y880_RS04835",2.17155242876777,"acnA"
"gene.Y880_RS04855",2.00563710646675,NA
"gene.Y880_RS05870",1.91813995592139,"pabB"
"gene.Y880_RS05875",1.90979648327701,NA
"gene.Y880_RS06015",1.98429736844201,NA
"gene.Y880_RS06235",1.89755323624025,NA
"gene.Y880_RS06310",1.93110214692596,NA
"gene.Y880_RS06735",2.05520460397149,NA
"gene.Y880_RS06855",1.98606786244179,NA
"gene.Y880_RS06860",1.89956192130324,NA
"gene.Y880_RS06885",1.90827573537858,NA
"gene.Y880_RS06930",1.82776409271275,NA
"gene.Y880_RS07030",2.26170431276865,NA
"gene.Y880_RS07035",2.15408493959977,NA
"gene.Y880_RS07050",2.0954541347191,NA
"gene.Y880_RS07110",2.22507660541422,NA
"gene.Y880_RS07180",2.35594017105086,NA
"gene.Y880_RS07365",1.87545452879674,NA
"gene.Y880_RS08255",1.92075209473756,NA
"gene.Y880_RS08415",1.90654715166176,NA
"gene.Y880_RS08440",1.94521108010179,NA
"gene.Y880_RS09500",1.89337278333368,NA
"gene.Y880_RS09715",2.18741961313119,NA
"gene.Y880_RS09720",2.49292129026414,NA
"gene.Y880_RS09730",1.85774603581963,NA
"gene.Y880_RS09870",3.83924791190432,NA
"gene.Y880_RS09875",2.45235695819699,"catA"
"gene.Y880_RS10010",2.14940476871949,NA
"gene.Y880_RS10825",2.97701770156627,NA
"gene.Y880_RS10875",2.53503165361318,NA
"gene.Y880_RS10990",1.92549638417277,NA
"gene.Y880_RS11680",1.83534113294964,NA
"gene.Y880_RS11710",1.89053467566916,NA
"gene.Y880_RS11895",2.01772541260901,NA
"gene.Y880_RS12015",1.84908478687762,NA
"gene.Y880_RS12035",2.36845966663943,NA
"gene.Y880_RS12360",2.24796428366934,NA
"gene.Y880_RS13200",2.73140748245722,NA
"gene.Y880_RS13395",1.96262718182149,NA
"gene.Y880_RS13405",1.89976348935446,NA
"gene.Y880_RS13880",2.0990368247251,NA
"gene.Y880_RS13960",1.96480989521184,NA
"gene.Y880_RS14190",2.06187253918131,NA
"gene.Y880_RS14200",1.99926785701021,NA
"gene.Y880_RS14210",1.98705216574189,NA
"gene.Y880_RS15095",1.97584433612217,NA
"gene.Y880_RS15220",1.8625594193881,NA
"gene.Y880_RS15310",2.40190652561039,NA
"gene.Y880_RS15315",1.93926783316752,NA
"gene.Y880_RS15795",1.94346047532417,NA
"gene.Y880_RS15845",2.13130582874764,NA
"gene.Y880_RS15875",1.85562103595362,NA
"gene.Y880_RS15885",4.16132768788739,NA
"gene.Y880_RS15890",4.26461638711408,NA
"gene.Y880_RS15895",4.31470915027871,NA
"gene.Y880_RS15900",4.35288815103279,NA
"gene.Y880_RS15905",4.42008893125751,NA
"gene.Y880_RS15910",4.39884473124674,NA
"gene.Y880_RS15915",4.32105535607267,NA
"gene.Y880_RS16130",1.84826495933186,NA
"gene.Y880_RS16175",2.69469552957474,NA
"gene.Y880_RS16920",2.01588505929885,"purT"
"gene.Y880_RS17000",2.46608969113099,NA
"gene.Y880_RS17515",1.84337280219859,NA
"gene.Y880_RS17700",1.9469967849177,NA
"gene.Y880_RS18615",1.84160210442841,NA
"gene.Y880_RS18700",1.90212849933536,"hpaB"
"gene.Y880_RS19180",2.09797513989335,NA
"gene.Y880_RS19185",1.96352258607466,NA
"gene.Y880_RS19725",2.16233498955444,NA
"gene.Y880_RS20050",2.55964943617907,NA
"gene.Y880_RS20055",3.62717980907038,NA
"gene.Y880_RS20065",4.2029007256676,NA
"gene.Y880_RS20070",4.24000269685368,NA
"gene.Y880_RS20075",4.32040169394975,"feoB"
"gene.Y880_RS20080",4.36344264884732,NA
"gene.Y880_RS20110",1.87054864209785,NA
"gene.Y880_RS21005",1.95545288632211,NA
"gene.Y880_RS21010",2.05463429958609,NA
"gene.Y880_RS21235",2.32458957224471,NA
"gene.Y880_RS21240",3.21118565107416,NA
"gene.Y880_RS21245",4.66029527624883,NA
"gene.Y880_RS21250",4.64730540387538,NA
"gene.Y880_RS21255",4.63260712102105,NA
"gene.Y880_RS21260",4.61036300440067,NA
"gene.Y880_RS21265",4.55768086878879,"rtcA"
"gene.Y880_RS21270",4.39022107064637,NA
"gene.Y880_RS21470",1.97446618658723,NA
"gene.Y880_RS22000",2.01567554420051,NA
"gene.Y880_RS22350",2.33110998384656,NA
"gene.Y880_RS22355",1.96266326769873,"lldD"
"gene.Y880_RS22365",4.51785119908879,"speD"
"gene.Y880_RS22370",4.47493811886112,NA
"gene.Y880_RS22375",4.33799275916246,NA
"gene.Y880_RS22380",4.26014797211608,NA
"gene.Y880_RS22385",4.31982248336795,NA
"gene.Y880_RS22390",3.94743940186391,"cueR"
"gene.Y880_RS22395",3.09786671758524,NA
"gene.Y880_RS22410",4.49182324182475,NA
"gene.Y880_RS22415",4.49337133079255,NA
"gene.Y880_RS22525",2.26889762729711,NA
"gene.Y880_RS22535",2.08513606157808,NA
"gene.Y880_RS22805",1.92605373339031,"urtA"
"gene.Y880_RS22830",2.10358666843705,NA
"gene.Y880_RS22855",2.05698107720589,"ureC"
"gene.Y880_RS22870",2.04911664162217,NA
"gene.Y880_RS22875",1.88468176645478,NA
"gene.Y880_RS22970",2.11277083816144,NA
"gene.Y880_RS24045",1.89124794389914,"proY"
"gene.Y880_RS24050",2.0202096706009,"hutH"
"gene.Y880_RS24055",2.79720408133095,NA
"gene.Y880_RS24060",2.85568408834882,"hutU"
"gene.Y880_RS24715",1.88995579332101,NA
"gene.Y880_RS25020",2.27950318869613,NA
"gene.Y880_RS25120",1.964160592573,NA
"gene.Y880_RS25160",2.09982816918825,NA
"gene.Y880_RS25670",1.93046845672706,NA
"gene.Y880_RS25900",2.11195944492802,NA
"gene.Y880_RS25970",2.3869144187039,NA
"gene.Y880_RS26010",1.93811066700674,NA
"gene.Y880_RS26235",1.88849163843113,NA
"gene.Y880_RS27190",2.32828971857141,NA
"gene.Y880_RS27195",1.8474201964249,NA
"gene.Y880_RS27390",2.29309739923456,"pcaG"
"gene.Y880_RS27770",1.88705672642216,NA
