"Biomarkers for right hand group from scores plot","VIP","Name"
"gene.Y880_RS00295",1.96486769993348,NA
"gene.Y880_RS00400",2.073779988628,NA
"gene.Y880_RS00430",2.12427223694118,NA
"gene.Y880_RS00435",2.02788415439457,NA
"gene.Y880_RS00940",1.94567581322445,NA
"gene.Y880_RS00950",2.11482161438409,NA
"gene.Y880_RS00960",2.08547224877416,NA
"gene.Y880_RS01010",2.29493588986132,NA
"gene.Y880_RS01375",2.13998940337603,NA
"gene.Y880_RS01385",2.51509680206216,NA
"gene.Y880_RS01435",2.34573014660739,NA
"gene.Y880_RS01515",2.10982074759389,NA
"gene.Y880_RS02065",3.39708074204217,NA
"gene.Y880_RS02070",2.49369123153541,NA
"gene.Y880_RS03250",2.01087273711517,NA
"gene.Y880_RS03625",2.39599790811717,NA
"gene.Y880_RS03630",2.32446726369679,NA
"gene.Y880_RS03635",2.23213713408591,NA
"gene.Y880_RS04445",1.85236602718605,NA
"gene.Y880_RS04655",2.90877429682984,NA
"gene.Y880_RS04905",1.96015688567386,NA
"gene.Y880_RS05000",2.05079961457748,NA
"gene.Y880_RS05070",2.08545715393109,NA
"gene.Y880_RS05295",1.89308481072246,NA
"gene.Y880_RS05300",2.27403964339005,NA
"gene.Y880_RS06270",2.14572275635985,NA
"gene.Y880_RS06275",1.97954755281487,NA
"gene.Y880_RS06280",2.00603597695687,NA
"gene.Y880_RS06355",2.06026852783731,NA
"gene.Y880_RS06455",1.90134185678776,"modB"
"gene.Y880_RS07275",1.93078891051531,"galU"
"gene.Y880_RS07280",2.26004259930631,NA
"gene.Y880_RS07845",1.91273126642541,NA
"gene.Y880_RS08095",1.98830084168084,NA
"gene.Y880_RS08670",1.99187911444377,NA
"gene.Y880_RS08985",1.92320107952142,NA
"gene.Y880_RS09495",1.93500794112753,"ppk2"
"gene.Y880_RS10105",1.85749723858671,NA
"gene.Y880_RS10120",2.11554514093187,NA
"gene.Y880_RS10185",1.84358502171619,NA
"gene.Y880_RS10280",1.87863629482284,"kynA"
"gene.Y880_RS10435",2.29510043090928,NA
"gene.Y880_RS11425",1.97014538671908,NA
"gene.Y880_RS11560",2.06770310727942,NA
"gene.Y880_RS12115",1.89054285708907,NA
"gene.Y880_RS12380",1.91570690772342,NA
"gene.Y880_RS12450",1.95043394505932,NA
"gene.Y880_RS12530",1.86986343666119,NA
"gene.Y880_RS14275",1.94284197218607,NA
"gene.Y880_RS14430",2.26971597514384,NA
"gene.Y880_RS14535",2.41753748646127,NA
"gene.Y880_RS14555",2.49457017109754,NA
"gene.Y880_RS14570",1.92603347032885,NA
"gene.Y880_RS14625",2.30076550085315,NA
"gene.Y880_RS15030",1.85813141689704,NA
"gene.Y880_RS15035",1.97711002587565,NA
"gene.Y880_RS15130",1.94131370252453,NA
"gene.Y880_RS15250",1.8475776941098,NA
"gene.Y880_RS15925",2.66772391048505,"pfkB"
"gene.Y880_RS15935",3.15943445347834,NA
"gene.Y880_RS16165",1.8945651393696,NA
"gene.Y880_RS16235",2.52195209344129,"recA"
"gene.Y880_RS16525",2.25995465962951,NA
"gene.Y880_RS16845",2.80852658057282,NA
"gene.Y880_RS17300",2.11813883560532,NA
"gene.Y880_RS17935",2.14742512458235,NA
"gene.Y880_RS18250",2.15666634512819,"mltB"
"gene.Y880_RS18300",1.89069459800417,NA
"gene.Y880_RS18320",1.91660494757874,NA
"gene.Y880_RS18385",2.29411186916662,NA
"gene.Y880_RS19020",2.21279839831947,NA
"gene.Y880_RS19025",2.00358258337939,NA
"gene.Y880_RS20260",1.8581169641973,NA
"gene.Y880_RS20265",2.71137242792086,NA
"gene.Y880_RS20270",1.84153839764925,NA
"gene.Y880_RS20410",2.74350279285455,"rnpB"
"gene.Y880_RS20565",2.4714158344169,NA
"gene.Y880_RS20570",2.39223597971959,NA
"gene.Y880_RS20575",2.25713945453538,"mlaD"
"gene.Y880_RS20580",2.32344651398037,NA
"gene.Y880_RS20585",2.01332743692741,NA
"gene.Y880_RS20590",2.4912218688653,NA
"gene.Y880_RS20595",2.67214764600243,NA
