"Biomarkers.for.right.hand.group.from.scores.plot","VIP","Name","apply(all, 1, wilcoxtest, grp1 = c(1:21), grp2 = c(22:42))","p6_FC - pak_FC"
"gene.Y880_RS00265",1.76119098586805,"NA",0.084555192425178,-0.427421223734677
"gene.Y880_RS00285",1.56854437600725,"NA",0.251630081644706,-0.263034405833793
"gene.Y880_RS00295",1.96486769993348,"NA",0.021661372602223,-1
"gene.Y880_RS00400",2.073779988628,"NA",0.101870498339648,-0.423211430724544
"gene.Y880_RS00425",1.7469366129061,"rpoE",0.038199674792295,-0.524290372543687
"gene.Y880_RS00430",2.12427223694118,"NA",0.013210588482534,-0.696461330545381
"gene.Y880_RS00435",2.02788415439457,"NA",0.018033623126337,-0.560554426123788
"gene.Y880_RS00915",1.81850891689032,"NA",0.027714393419678,-0.443301351497565
"gene.Y880_RS00940",1.94567581322445,"NA",0.035654592456715,-0.312080308931016
"gene.Y880_RS00945",1.61887465083391,"NA",0.068138950616117,-0.570315724756755
"gene.Y880_RS00950",2.11482161438409,"NA",0.010661013879578,-0.455994173501701
"gene.Y880_RS00960",2.08547224877416,"NA",0.017307370195204,-0.584962500721156
"gene.Y880_RS00965",1.67265199965714,"plcR",0.042291596639079,-1.16992500144231
"gene.Y880_RS01010",2.29493588986132,"NA",0.070039714871111,-0.222392421336448
"gene.Y880_RS01015",1.82581026867181,"NA",0.032286813369692,-0.954196310386875
"gene.Y880_RS01020",1.62823076333387,"NA",0.074066509488989,-0.481126689736616
"gene.Y880_RS01375",2.13998940337603,"NA",0.004832172958632,-0.343652866042079
"gene.Y880_RS01380",1.52966813201186,"NA",0.127966744060651,-0.678071905112637
"gene.Y880_RS01385",2.51509680206216,"NA",0.005857201413844,-0.415037499278844
"gene.Y880_RS01400",1.72477174703188,"NA",0.141077675424592,-0.605140382658786
"gene.Y880_RS01415",1.55461695541879,"NA",0.141045451458458,-0.169925001442312
"gene.Y880_RS01435",2.34573014660739,"NA",0.37853780859952,-0.099535673550915
"gene.Y880_RS01515",2.10982074759389,"NA",0.000384864337035,-0.340669164827496
"gene.Y880_RS01675",1.77839104102345,"pal",0.055887261961328,-0.314365540486275
"gene.Y880_RS01680",1.53301388192152,"ygbF",0.069809616706664,-0.301540645987147
"gene.Y880_RS02065",3.39708074204217,"NA",0.000153282428215,-0.736965594166207
"gene.Y880_RS02070",2.49369123153541,"NA",0.048290211515257,-0.743778806549699
"gene.Y880_RS02075",1.8152767742167,"NA",0.057368745347242,-0.331205908475374
"gene.Y880_RS02080",1.81938225591728,"NA",0.033586779368177,-0.68326457433296
"gene.Y880_RS02085",1.79895529880714,"NA",0.022047797357406,-0.751320887143276
"gene.Y880_RS02770",1.59951847235481,"NA",0.345428705643098,-0.144389909335175
"gene.Y880_RS03175",1.51561821146267,"NA",0.035811788409391,-1
"gene.Y880_RS03250",2.01087273711517,"NA",0.106877912284881,-0.245112497836532
"gene.Y880_RS03435",1.50500498716379,"NA",0.488950433283324,-0.123574685118532
"gene.Y880_RS03625",2.39599790811717,"NA",0.011313069610553,-1.07400058144378
"gene.Y880_RS03630",2.32446726369679,"NA",0.016206810216352,-1.13750352374994
"gene.Y880_RS03635",2.23213713408591,"NA",0.033323655094176,-0.584962500721157
"gene.Y880_RS03675",1.77998905450643,"NA",0.051608887402047,-1
"gene.Y880_RS04160",1.58000072026026,"NA",0.186502190257395,-0.452512204697507
"gene.Y880_RS04325",1.56525924055733,"NA",0.089336611413455,-0.935869662580284
"gene.Y880_RS04445",1.85236602718605,"NA",0.006580290625716,-0.743224584637888
"gene.Y880_RS04655",2.90877429682984,"NA",0.000567068805212,-1.84388079808272
"gene.Y880_RS04905",1.96015688567386,"NA",0.070005653410142,-0.238512086699725
"gene.Y880_RS05000",2.05079961457748,"NA",0.006102956152394,-0.627308791430751
"gene.Y880_RS05070",2.08545715393109,"NA",0.049541804420413,-1.32192809488736
"gene.Y880_RS05110",1.77407271634442,"NA",0.332757539177863,-0.439912167917874
"gene.Y880_RS05250",1.56159548746952,"NA",0.190390272675783,-0.788495894806288
"gene.Y880_RS05295",1.89308481072246,"NA",0.015678188877329,-0.536052900240209
"gene.Y880_RS05300",2.27403964339005,"NA",0.00274454242128,-0.925999418556223
