"Biomarkers for right hand group from scores plot","VIP","Name"
"gene.Y880_RS00015",1.96364843254967,NA
"gene.Y880_RS00020",2.10377745302573,NA
"gene.Y880_RS00025",1.71241038037839,NA
"gene.Y880_RS00030",1.66267341838403,NA
"gene.Y880_RS00035",2.18141800974326,NA
"gene.Y880_RS00285",2.1553619192149,NA
"gene.Y880_RS00290",2.22329732909287,NA
"gene.Y880_RS00295",1.90638018819268,NA
"gene.Y880_RS00345",1.78433360592959,"mmsA"
"gene.Y880_RS00430",1.77259224651409,NA
"gene.Y880_RS00650",2.36911862926441,NA
"gene.Y880_RS00655",1.84262929540943,NA
"gene.Y880_RS00660",2.03350399476479,NA
"gene.Y880_RS00670",1.59900952919564,NA
"gene.Y880_RS00675",1.87324964665806,NA
"gene.Y880_RS00680",1.76113590079689,NA
"gene.Y880_RS00685",1.80321956845573,NA
"gene.Y880_RS00700",1.59115243664484,NA
"gene.Y880_RS00880",1.61425714495784,NA
"gene.Y880_RS00950",1.70938254510238,NA
"gene.Y880_RS00960",1.58875774992142,NA
"gene.Y880_RS00965",1.60906072837469,"plcR"
"gene.Y880_RS00970",1.69551597739501,NA
"gene.Y880_RS01020",1.58022052779476,NA
"gene.Y880_RS01025",1.55449836601894,NA
"gene.Y880_RS01375",1.60436290571059,NA
"gene.Y880_RS01380",1.97713899210468,NA
"gene.Y880_RS01440",1.61228551231273,NA
"gene.Y880_RS01445",1.97824396174999,NA
"gene.Y880_RS01930",1.90233809910736,NA
"gene.Y880_RS01940",1.78369750593276,NA
"gene.Y880_RS02035",1.56512239506861,NA
"gene.Y880_RS02395",1.7893302776905,NA
"gene.Y880_RS02415",1.79711616792105,NA
"gene.Y880_RS02500",1.56563978240014,NA
"gene.Y880_RS02710",1.62944018431039,NA
"gene.Y880_RS02770",2.09825158965413,NA
"gene.Y880_RS02775",2.04094736728181,NA
"gene.Y880_RS02780",1.8516312872014,NA
"gene.Y880_RS02910",1.7231185133636,NA
"gene.Y880_RS02955",1.7241844083502,NA
"gene.Y880_RS03115",1.95668472027021,NA
"gene.Y880_RS03155",1.7354327230875,NA
"gene.Y880_RS03175",1.59278106455797,NA
"gene.Y880_RS03625",1.86819306113124,NA
"gene.Y880_RS03630",2.09791935400636,NA
"gene.Y880_RS03635",1.65390365896207,NA
"gene.Y880_RS03645",1.67488949394974,NA
"gene.Y880_RS03985",1.76649856306721,NA
"gene.Y880_RS04005",1.5551034677972,NA
"gene.Y880_RS04085",1.88092157564079,NA
"gene.Y880_RS04160",1.59685313552072,NA
"gene.Y880_RS04325",1.89070506433623,NA
"gene.Y880_RS04445",1.73314233818457,NA
"gene.Y880_RS04485",1.78804096770059,"gcl"
"gene.Y880_RS04705",1.60921067861109,NA
"gene.Y880_RS04825",1.9577193710146,NA
"gene.Y880_RS04830",1.9697647604959,NA
"gene.Y880_RS05070",1.7023356312255,NA
"gene.Y880_RS05295",1.74402358934453,NA
"gene.Y880_RS06100",1.95075037080974,NA
"gene.Y880_RS06105",2.39244173636289,NA
"gene.Y880_RS06165",1.57691435452882,NA
"gene.Y880_RS06175",1.60575964356214,NA
"gene.Y880_RS06185",1.89856637195135,NA
"gene.Y880_RS06460",1.71935501187833,"modA"
"gene.Y880_RS06465",1.98500623213384,NA
"gene.Y880_RS06470",1.94649108557032,NA
"gene.Y880_RS06475",1.68154925780414,NA
"gene.Y880_RS06510",1.62000953589664,NA
"gene.Y880_RS06615",1.7989699812707,NA
"gene.Y880_RS06620",1.79945657518427,NA
"gene.Y880_RS06665",1.72012922810791,NA
"gene.Y880_RS06775",1.59913304473286,NA
"gene.Y880_RS07245",1.97895246241731,NA
"gene.Y880_RS07250",2.02237073365771,NA
"gene.Y880_RS07255",2.03335848061878,NA
"gene.Y880_RS07265",1.60532977277185,NA
"gene.Y880_RS07270",1.87601243352034,NA
"gene.Y880_RS07400",1.75201032079134,NA
"gene.Y880_RS07405",1.55626798350106,NA
"gene.Y880_RS07820",1.58641453752466,NA
"gene.Y880_RS08065",1.56548886900611,NA
"gene.Y880_RS08070",1.82142964350113,NA
"gene.Y880_RS08090",1.88617194663337,NA
"gene.Y880_RS08095",1.63563479222015,NA
"gene.Y880_RS08110",1.58147326177177,NA
"gene.Y880_RS08305",1.61730485124833,NA
"gene.Y880_RS08660",1.66079810057879,NA
"gene.Y880_RS08665",1.80654743322324,NA
"gene.Y880_RS08670",1.74055910273237,NA
"gene.Y880_RS08675",1.91221853425264,NA
"gene.Y880_RS08705",1.66049999895517,"soxR"
"gene.Y880_RS08910",1.6432765818389,NA
"gene.Y880_RS08940",2.052093320358,NA
"gene.Y880_RS08945",1.7221542309863,NA
"gene.Y880_RS08950",1.78953497440507,NA
"gene.Y880_RS08955",1.62611657470229,NA
"gene.Y880_RS08960",1.82661157039226,NA
"gene.Y880_RS09095",1.5529780324847,NA
"gene.Y880_RS09115",2.17783759275348,NA
"gene.Y880_RS09125",2.23003470646847,"ssuD"
"gene.Y880_RS09130",2.32814154222606,"msuE"
"gene.Y880_RS09135",2.38237427666101,NA
"gene.Y880_RS09365",1.63177721395576,NA
"gene.Y880_RS09420",1.67900906929597,NA
"gene.Y880_RS09485",1.81585348235025,NA
"gene.Y880_RS09490",1.75029605230523,NA
"gene.Y880_RS09495",1.76344074755839,"ppk2"
"gene.Y880_RS09525",1.73902313309605,NA
"gene.Y880_RS09555",1.82701000956506,NA
"gene.Y880_RS09595",1.79778223260047,NA
"gene.Y880_RS09765",1.8609402459594,NA
"gene.Y880_RS09770",1.55717108764399,NA
"gene.Y880_RS09965",1.73473912629637,NA
"gene.Y880_RS09970",1.78623657275156,NA
"gene.Y880_RS09980",1.73495128729287,NA
"gene.Y880_RS09985",1.76449689575528,NA
"gene.Y880_RS09990",1.88454715192889,NA
"gene.Y880_RS09995",1.90154025274234,NA
"gene.Y880_RS10170",1.69883201586132,NA
"gene.Y880_RS10180",1.64816975480758,NA
"gene.Y880_RS10185",2.03283684189368,NA
"gene.Y880_RS10695",2.1778947994429,NA
"gene.Y880_RS10700",2.26878592773351,NA
"gene.Y880_RS10705",2.18667470687917,NA
"gene.Y880_RS10710",1.92189036963682,NA
"gene.Y880_RS10715",1.94287839747386,NA
"gene.Y880_RS10720",1.97021106992725,NA
"gene.Y880_RS10875",1.76720423026289,NA
"gene.Y880_RS10910",1.88935481756715,NA
"gene.Y880_RS10940",1.59351379583636,NA
"gene.Y880_RS10955",1.61718281527357,NA
"gene.Y880_RS10975",1.56434604659602,NA
"gene.Y880_RS11020",1.69777716695921,NA
"gene.Y880_RS11025",1.82376561177708,NA
"gene.Y880_RS11145",1.5550236485303,"ihfA"
"gene.Y880_RS11235",1.66054485023127,NA
"gene.Y880_RS11245",1.65868832689915,NA
"gene.Y880_RS11260",1.64772542418439,NA
"gene.Y880_RS11520",1.56690735903184,"tal"
"gene.Y880_RS11560",1.58202999732474,NA
"gene.Y880_RS11615",1.79684848526089,"fadE"
"gene.Y880_RS12115",1.64033283534553,NA
"gene.Y880_RS12250",1.59460715295228,NA
"gene.Y880_RS12320",1.67626537761848,NA
"gene.Y880_RS12325",1.8665667514328,NA
"gene.Y880_RS12380",1.65622316309138,NA
"gene.Y880_RS12400",1.59407272674118,NA
"gene.Y880_RS12435",1.70048844727576,NA
"gene.Y880_RS12460",2.01961424461164,NA
"gene.Y880_RS12585",1.69767105501795,NA
"gene.Y880_RS13215",1.60269367219648,NA
"gene.Y880_RS13380",1.6064998183178,NA
"gene.Y880_RS13625",1.66844241703064,"leuD"
"gene.Y880_RS13630",1.87222654704046,"leuC"
"gene.Y880_RS13655",1.55106423137449,NA
"gene.Y880_RS13895",1.67165531403971,NA
"gene.Y880_RS13910",1.66225431742799,NA
"gene.Y880_RS13925",1.72668475677496,"zwf"
"gene.Y880_RS13990",1.96117885816076,"edd"
"gene.Y880_RS14050",1.8924985621662,NA
"gene.Y880_RS14055",1.59450499690991,NA
"gene.Y880_RS14120",1.63548877176457,NA
"gene.Y880_RS14215",1.56736607085668,NA
"gene.Y880_RS14275",1.74461665117306,NA
"gene.Y880_RS14280",1.57197530382674,NA
"gene.Y880_RS14285",1.78239485290468,NA
"gene.Y880_RS14290",1.62082035455663,NA
"gene.Y880_RS14340",1.7703147793315,NA
"gene.Y880_RS14440",1.57837288631292,NA
"gene.Y880_RS14450",1.70884499965905,NA
"gene.Y880_RS14695",1.56994406519214,NA
"gene.Y880_RS14780",1.81225605847707,NA
"gene.Y880_RS14985",1.58902293097848,"phnK"
"gene.Y880_RS14995",1.80881767288182,NA
"gene.Y880_RS15000",1.69374696318956,NA
"gene.Y880_RS15010",1.9003937439451,"phnF"
"gene.Y880_RS15015",1.87124224058732,"phnE"
"gene.Y880_RS15020",1.85778097742931,"phnD"
"gene.Y880_RS15025",1.85021628969737,"phnC"
"gene.Y880_RS15125",1.63895224849127,NA
"gene.Y880_RS15130",1.76492665002498,NA
"gene.Y880_RS15420",1.79260555247005,NA
"gene.Y880_RS15425",1.89391706943527,NA
"gene.Y880_RS15790",1.56713011148913,NA
"gene.Y880_RS15815",2.21776434876934,NA
"gene.Y880_RS15875",1.59125150824574,NA
"gene.Y880_RS15885",2.00470243918792,NA
"gene.Y880_RS15890",1.7998401977008,NA
"gene.Y880_RS15895",1.67741351399091,NA
"gene.Y880_RS15900",1.71293223597556,NA
"gene.Y880_RS15905",1.56387005034676,NA
"gene.Y880_RS16005",1.80701530356068,NA
"gene.Y880_RS16140",1.58812769551311,NA
"gene.Y880_RS16145",1.77604793588928,NA
"gene.Y880_RS16155",1.7735350808465,NA
"gene.Y880_RS16160",1.75684721141027,NA
"gene.Y880_RS16265",1.66170969642582,NA
"gene.Y880_RS16270",1.78577921322494,NA
"gene.Y880_RS16590",1.59318229969955,NA
"gene.Y880_RS16610",1.59274875853673,NA
"gene.Y880_RS16615",1.62727172040249,NA
"gene.Y880_RS16710",1.63005427759568,NA
"gene.Y880_RS16715",1.81781768886711,NA
"gene.Y880_RS16810",1.7368188820219,NA
"gene.Y880_RS16815",1.81043316353612,NA
"gene.Y880_RS16820",1.64764556144193,NA
"gene.Y880_RS16825",1.7241073610489,NA
"gene.Y880_RS16895",1.61459090491859,NA
"gene.Y880_RS17095",1.58250677668399,NA
"gene.Y880_RS17165",1.56971490988266,"leuA"
"gene.Y880_RS17180",1.71517245495798,NA
"gene.Y880_RS17300",1.85808235136153,NA
"gene.Y880_RS17495",1.6676352181856,NA
"gene.Y880_RS17620",1.6216942178399,NA
"gene.Y880_RS17635",1.61472843749482,NA
"gene.Y880_RS17820",1.79094122971716,NA
"gene.Y880_RS17890",1.64313890824227,NA
"gene.Y880_RS17895",1.6443872997218,NA
"gene.Y880_RS18055",1.54718991402952,NA
"gene.Y880_RS18065",1.90830509126771,NA
"gene.Y880_RS18090",1.56676295834958,NA
"gene.Y880_RS18220",1.61227250393608,NA
"gene.Y880_RS18555",1.78927766705714,NA
"gene.Y880_RS18560",1.57877065784587,NA
"gene.Y880_RS18565",1.92830989967727,NA
"gene.Y880_RS18700",1.56643225453587,"hpaB"
"gene.Y880_RS18715",1.55638308574714,NA
"gene.Y880_RS18950",1.89999403419724,NA
"gene.Y880_RS19030",1.77991839214364,NA
