"","Biomarkers.for.left.hand.group.from.scores.plot","VIP","Name","apply(PAK_samp_list, 1, wilcoxtest, grp1 = c(1:6), grp2 = c(7:12))","pak_control_FC - pak_treated_FC"
"1","gene.Y880_RS00195",1.88391522559613,NA,0.588744588744589,-0.0131116603218047
"2","gene.Y880_RS00215",1.7110279521246,NA,0.198607849441138,0.364030020472157
"3","gene.Y880_RS00220",1.63609626776126,"gloA",0.127537709297487,0.573949347556157
"4","gene.Y880_RS01210",1.85121222499458,NA,0.0930735930735931,0.395720148846159
"5","gene.Y880_RS01220",1.62428646405539,NA,0.0776483099927933,0.562526501918458
"6","gene.Y880_RS01300",1.90278788282247,NA,0.0649350649350649,0.435283745911024
"7","gene.Y880_RS01310",1.74360167905674,NA,0.0151515151515152,0.53087263947352
"8","gene.Y880_RS01435",1.87081583060731,NA,0.937229437229437,-0.00549779561344987
"9","gene.Y880_RS01575",1.59235184752215,NA,0.0649350649350649,0.374431857267849
"10","gene.Y880_RS01595",1.63498529294277,NA,0.148829147839297,0.557482857060261
"11","gene.Y880_RS01600",2.05237027206176,NA,0.00216450216450216,1.94130139153707
"12","gene.Y880_RS01695",1.75378620290558,NA,0.0776483099927933,0.383333543021878
"13","gene.Y880_RS01735",1.60619742908958,NA,0.513629113393124,0.074848596607306
"14","gene.Y880_RS01795",1.68010087521565,NA,0.037040730591938,0.390692832703504
"15","gene.Y880_RS01975",1.69685716093078,NA,0.025974025974026,0.430646864584204
"16","gene.Y880_RS01980",1.73149121729758,NA,0.0303479417395604,0.706411114073699
"17","gene.Y880_RS02010",1.95194230945119,NA,0.261496176191146,0.312207427790131
"18","gene.Y880_RS02015",1.7312928054985,NA,0.0915542414558325,0.273811569448327
"19","gene.Y880_RS02105",1.7116816520779,NA,0.0930735930735931,0.692512465106202
"20","gene.Y880_RS02110",1.62474896651754,NA,0.0776483099927933,0.677489030477128
"21","gene.Y880_RS02115",1.55703515878987,NA,0.0771276378156315,0.171359948246207
"22","gene.Y880_RS02150",1.70219581682652,NA,0.00216450216450216,0.333199379212907
