"ID","Metabolites and Genes in time 0 samples"
"pos_956","(+)-Vulgraon B"
"pos_95","PG(16:0/18:1(9Z))[U]"
"pos_868","(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1-oxoprolyl]-(S)-alanine benzyl ester"
"pos_86","PC(18:0/11:1(10E))"
"pos_836","PG(16:0/18:1(9Z))[U]"
"pos_821","9Z,12Z,15Z-Octadecatrienal"
"pos_770","BHA"
"pos_739","Caffeic acid 3-O-glucuronide"
"pos_72","Methoprene acid"
"pos_68","Sclareolide (Norambreinolide)"
"pos_674","2,6-nonadienoic acid"
"pos_655","1-Methyl-1,3-cyclohexadiene"
"pos_63","Montecristin"
"pos_597","2E,4E-undecadienoic acid"
"pos_578","Aleprylic acid"
"pos_571","3,4-Dimethylstyrene"
"pos_563","Santene"
"pos_557","Cystophorene"
"pos_532","PE(16:1(9Z)/16:1(9Z))[U]"
"pos_523","5-hydroxymethyl-2-furanoate"
"pos_519","3-NOR-3-OXOPANASINSAN-6-OL"
"pos_475","1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one"
"pos_441","10E,12E,14E-Hexadecatrienal"
"pos_413","4-Vinylcyclohexene"
"pos_404","PG(16:0/16:1(9Z))"
"pos_397","TMPH hydrochloride"
"pos_340","Dehydrophytosphingosine"
"pos_300","Allopumiliotoxin 267A"
"pos_30","PE(16:0/18:2(9Z,12Z))"
"pos_27","PS(22:0/12:0)"
"pos_24","Cohibin C"
"pos_23","(??)9-HODE"
"pos_224","(4E,8E,10E-d18:3)sphingosine"
"pos_215","PG(18:1(9E)/0:0)[U]"
"pos_211","O-Phosphorylethanolamine"
"pos_195","5-(1-oxopropan-2-yl)isolongifol-5-ene"
"pos_174","9,12-hexadecadienoic acid"
"pos_146","(Z)-N-(2-hydroxyethyl)hexadec-7-enamide"
"pos_1383","Ala Asp Glu Lys"
"pos_132","Cohibin A"
"pos_13","3E,9Z,12Z-octadecatrienoic acid"
"pos_128","N-Palmitoyl Glycine"
"pos_118","5Z,12Z-otadecadienoic acid"
"p4429","Atrovirinone"
"p3807","Jasmone"
"p3806","Tricycloekasantal"
"p3805","FA (10:2) Decadienoic acid"
"p2913","Cytochalasin Opho"
"p274","5-Ethyl-3-methyl-2E,4E,6E-nonatriene"
"p273","N-palmitoyl threonine"
"p267","3-Isopropylcatechol"
"p260","PA(31:2)"
"p249","4,8-Dimethyl-4E,8E-decadien-10-olide"
"p242","Rishitin"
"p234","(+)-Prosopinine"
"p227","5beta-Estrane-3alpha,17beta-diol"
"p1331","Ala-Ala-Ala-Tyr"
"p1314","psicoselysine"
"p1295","4,7,10,13-Hexadecatetraenoic acid"
"p1130","PG(36:5)"
"neg_866","Propanoyl phosphate"
"neg_823","Nicotianamine"
"neg_637","Cysteine-Mesna Disulfide (L-Alanine, 3-[(2-sulfoethyl)dithio]-)"
"neg_58","Ambrettolic acid"
"neg_43","DIBUTYL SUBERATE"
"neg_405","sn-glycero-3-phosphoethanolamine"
"neg_4","Gaidic acid"
"neg_3","2Z-octadecenoic acid"
"neg_22","9-hydroxy-12Z-octadecenoic acid"
"neg_21","9,10-dihydroxy-12-octadecenoic acid"
"neg_186","2-tetradecenoic acid"
"n825","Flavanone 7-O-beta-D-glucoside"
"n823","PE(30:1)"
"n77","PG(16:0/18:2(9Z,12Z))"
"n722","Arg-Asn-Asp-Asp"
"n720","Ala-Thr-Cys-His"
"n703","10S-HpOME"
"n623","1-acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"
"n3078","[FA (18:1)] 9E-octadecenoic acid"
"n2754","Asn-Asn-Ser-Tyr"
"n2448","PS(36:4)"
"n2428","glcNAc-1,6-anhMurNAc"
"n2343","2-16:1-lysoPG"
"n2067","Ethanolamine phosphate"
"n2035","FA(16:1)"
"n1849","[FA oxo(16:2)] cyclopentanehexanoic acid"
"n1848","[FA hydroxy(16:1)] (+)-12-hydroxy-9Z-hexadecenoic acid"
"n1499","FA hydroxy (18:2)"
"n1274","PC(15:0)"
"n1272","LysoPE(16:1)"
"n1215","[PA(14:0/0:0)] 1-tetradecanoyl-2-sn-glycero-3-phosphate"
"n1212","FA hydroxy(18:1)"
"n1131","1-18:1-lysophosphatidylglycerol"
"gene.Y880_RS27380","pcaQ"
"gene.Y880_RS27325","ppk2"
"gene.Y880_RS27315","ahpC"
"gene.Y880_RS27060","clpV"
"gene.Y880_RS25940","gmd"
"gene.Y880_RS25620","cls"
"gene.Y880_RS24455","arcC"
"gene.Y880_RS24445","arcA"
"gene.Y880_RS24115","gloA"
"gene.Y880_RS23825","hslU"
"gene.Y880_RS23615","aceE"
"gene.Y880_RS23125","azu"
"gene.Y880_RS23115","nadE"
"gene.Y880_RS22295","dnaJ"
"gene.Y880_RS21420","mscL"
"gene.Y880_RS20945","pilB"
"gene.Y880_RS20625","ptsN"
"gene.Y880_RS20620","raiA"
"gene.Y880_RS20395","ftsL"
"gene.Y880_RS20360","murG"
"gene.Y880_RS20220","groL"
"gene.Y880_RS17945","tesB"
"gene.Y880_RS00510","lon"
