sample_name,gene_Y880_RS00170,gene_Y880_RS00950,gene_Y880_RS00960,gene_Y880_RS01375,gene_Y880_RS01385,gene_Y880_RS01515,gene_Y880_RS02065,gene_Y880_RS03625,gene_Y880_RS03630,gene_Y880_RS03750,gene_Y880_RS03800,gene_Y880_RS03840,gene_Y880_RS03875,gene_Y880_RS04305,gene_Y880_RS04445,gene_Y880_RS04650,gene_Y880_RS04655,gene_Y880_RS04825,gene_Y880_RS04830,gene_Y880_RS05000,gene_Y880_RS05070,gene_Y880_RS05295,gene_Y880_RS05300,gene_Y880_RS05975,gene_Y880_RS06015,gene_Y880_RS06270,gene_Y880_RS06495,gene_Y880_RS07035,gene_Y880_RS07275,gene_Y880_RS08330,gene_Y880_RS08985,gene_Y880_RS08990,gene_Y880_RS09715,gene_Y880_RS09720,gene_Y880_RS09725,gene_Y880_RS09730,gene_Y880_RS09870,gene_Y880_RS09875,gene_Y880_RS10120,gene_Y880_RS10825,gene_Y880_RS10875,gene_Y880_RS12160,gene_Y880_RS12450,gene_Y880_RS13200,gene_Y880_RS13395,gene_Y880_RS13880,gene_Y880_RS13960,gene_Y880_RS14210,gene_Y880_RS14250,gene_Y880_RS14430,gene_Y880_RS14535,gene_Y880_RS14625,gene_Y880_RS15030,gene_Y880_RS15035,gene_Y880_RS15250,gene_Y880_RS15310,gene_Y880_RS15355,gene_Y880_RS15885,gene_Y880_RS15890,gene_Y880_RS15895,gene_Y880_RS15900,gene_Y880_RS15905,gene_Y880_RS15910,gene_Y880_RS15915,gene_Y880_RS15925,gene_Y880_RS15935,gene_Y880_RS16260,gene_Y880_RS17000,gene_Y880_RS17300,gene_Y880_RS17935,gene_Y880_RS18385,gene_Y880_RS19020,gene_Y880_RS19025,gene_Y880_RS19470,gene_Y880_RS20050,gene_Y880_RS20055,gene_Y880_RS20065,gene_Y880_RS20070,gene_Y880_RS20075,gene_Y880_RS20080,gene_Y880_RS20265,gene_Y880_RS20565,gene_Y880_RS20570,gene_Y880_RS20575,gene_Y880_RS20580,gene_Y880_RS20780,gene_Y880_RS21240,gene_Y880_RS21245,gene_Y880_RS21250,gene_Y880_RS21255,gene_Y880_RS21260,gene_Y880_RS21265,gene_Y880_RS21270,gene_Y880_RS21470,gene_Y880_RS21565,gene_Y880_RS22000,gene_Y880_RS22365,gene_Y880_RS22370,gene_Y880_RS22375,gene_Y880_RS22380,gene_Y880_RS22385,gene_Y880_RS22390,gene_Y880_RS22395,gene_Y880_RS22410,gene_Y880_RS22415,gene_Y880_RS22700,gene_Y880_RS22970,gene_Y880_RS23310,gene_Y880_RS23650,gene_Y880_RS24055,gene_Y880_RS24060,gene_Y880_RS24670,gene_Y880_RS24675,gene_Y880_RS24775,gene_Y880_RS25285,gene_Y880_RS25425,gene_Y880_RS25430,gene_Y880_RS25450,gene_Y880_RS25455,gene_Y880_RS25460,gene_Y880_RS25465,gene_Y880_RS25470,gene_Y880_RS25500,gene_Y880_RS25680,gene_Y880_RS25770,gene_Y880_RS26075,gene_Y880_RS26325,gene_Y880_RS26505,gene_Y880_RS27670,gene_Y880_RS27675,gene_Y880_RS27905,gene_Y880_RS28115,gene_Y880_RS28470,gene_Y880_RS28475,gene_Y880_RS28480,gene_Y880_RS28485,gene_Y880_RS28490,gene_Y880_RS28775,gene_Y880_RS28795,gene_Y880_RS28800,gene_Y880_RS28805,gene_Y880_RS28820,gene_Y880_RS28830,gene_Y880_RS29330,gene_Y880_RS29390,gene_Y880_RS29430,gene_Y880_RS29435
P6-2-24-P,6,301,19,130,37,413,465,21,30,158,32,16,57,44,111,24,18,42187,12679,181,38,18,19,34004,8,135,24,4,375,0.001,35,21,20,92,48,111,25,5,89,35,26,30,88,36,74,39,17,3,229,54,10,63,832,37,41,99,3,999,4966,898,1717,307,202,2415,39,59,213,30,166,140,125,10,17,1270,81,169,4064,700,9049,620,157,49,190,101,152,204,109,28480,1882,1743,900,312,58,20,86,110,14161,13856,1802,792,1087,240,31,539,912,46,19,246,63,17,113,278,443,39,96,21,25,26,24,29,33,118,169,36,57,234,82,5187,41,49,44,301,244,109,269,88,27,172,873,2038,994,265,2575,32,62,4721,2395
P6-3-24-P,9,240,16,137,67,365,519,75,63,54,65,18,107,27,46,77,34,29328,9898,276,26,21,26,25655,11,190,53,8,528,19,29,13,12,44,25,45,42,16,204,47,46,20,89,78,78,63,6,7,315,61,16,226,1081,66,92,121,0.001,2001,6399,1074,1436,207,151,2347,65,114,291,147,307,254,225,27,50,645,54,66,5252,1087,18342,1415,173,84,324,185,240,135,106,37833,1645,1298,660,233,61,22,91,153,18896,19383,2489,970,756,191,26,752,1273,44,9,333,146,24,69,198,430,37,115,47,25,46,45,42,42,160,134,25,138,168,196,1459,39,24,228,704,304,125,323,158,26,136,1176,2097,554,205,1933,92,72,3906,2890
P6-2-1-P,9,191,26,239,114,595,608,27,42,81,74,38,175,94,79,110,91,21388,10095,447,24,22,39,34067,19,301,46,9,585,0.001,24,10,24,65,52,84,63,16,291,119,59,36,155,275,148,68,53,9,427,119,19,147,969,80,71,190,4,1429,4447,735,1797,406,243,3170,329,124,198,121,396,603,247,21,39,867,62,51,2205,409,9626,871,378,105,458,304,410,350,99,63497,5646,5954,3373,1413,633,36,118,113,19431,20023,3168,1347,1300,273,51,1724,1962,66,18,259,128,64,192,288,477,64,187,68,70,100,75,46,60,177,174,30,112,141,186,3976,12,26,282,1380,125,56,189,136,33,240,1219,2585,821,313,2124,34,131,4992,3798
P6-3-1-P,11,90,9,145,81,375,346,15,21,40,30,27,94,82,57,51,38,15867,8000,307,14,12,20,20232,15,164,52,5,506,0.001,27,10,8,44,34,58,26,7,110,84,37,25,59,130,109,24,13,9,275,75,8,125,796,56,38,114,0.001,1442,4557,953,2055,383,274,3185,172,82,153,73,215,515,137,10,30,698,45,38,1426,324,5868,458,225,80,274,187,239,182,66,38722,3978,4255,2521,1311,468,29,98,50,13882,15789,3007,1271,1216,211,39,1071,1271,24,12,186,59,24,62,182,278,29,130,39,42,72,53,38,52,120,94,16,58,110,106,4150,11,24,98,850,88,37,126,77,20,156,756,1784,826,203,1392,7,97,3706,2633
P6-3-1-C,7,236,23,177,55,378,317,19,27,38,37,27,113,56,56,60,53,16013,7858,234,15,20,58,20857,8,305,76,5,458,0.001,16,7,14,31,32,45,35,16,240,48,28,16,63,89,105,37,12,7,271,98,15,75,645,72,45,112,1,1131,3679,715,1708,376,271,3163,136,80,138,59,196,537,146,24,22,732,31,32,1346,261,5921,541,263,88,269,162,255,159,38,35900,3375,3682,2088,1203,499,43,92,55,12528,14881,2776,1113,1073,191,33,966,1256,28,15,205,116,17,65,182,297,45,149,48,31,72,37,33,47,124,105,35,54,131,125,4375,5,4,101,646,76,31,106,70,23,154,641,1544,574,224,1568,18,84,3566,2674
P6-1-1-P,7,101,15,155,56,408,355,18,22,51,46,23,94,70,56,62,32,14680,7048,242,18,13,18,23228,4,191,45,8,442,1,18,10,17,55,32,60,37,7,204,83,37,17,59,164,97,35,36,5,308,69,14,135,768,55,31,122,0.001,1155,3912,664,1692,333,236,2759,200,69,154,62,166,445,103,11,24,597,39,48,1731,281,6751,554,279,83,281,212,238,175,40,34838,3472,3497,2083,976,419,35,93,74,13715,14364,2299,1041,929,264,40,950,1087,27,17,206,48,17,112,204,279,41,138,33,40,53,30,31,34,92,108,26,56,103,89,3300,6,14,127,800,70,24,108,64,20,162,685,1690,683,177,1411,12,92,3549,2237
P6-1-1-C,7,230,37,237,85,475,376,13,17,51,27,41,125,83,49,66,42,20518,10115,271,18,10,66,27828,11,351,67,9,623,0.001,16,5,18,55,36,72,47,11,323,52,46,25,74,112,111,34,75,11,379,100,17,58,934,98,52,128,1,1516,4839,1041,2548,513,314,3527,267,101,200,63,227,644,157,18,17,1089,46,62,2333,400,8646,722,352,91,326,210,321,185,53,46689,3938,4120,2332,1423,509,54,106,70,16596,18303,3305,1249,1199,289,62,1181,1498,41,28,249,79,23,89,274,409,50,209,63,54,55,43,41,38,102,125,39,44,145,100,5594,11,31,98,711,77,37,120,69,24,202,669,1736,801,261,1830,14,123,4505,3403
P6-2-1-C,9,293,21,192,75,412,387,25,21,84,77,34,121,80,61,102,91,15324,7402,235,34,44,71,25860,11,277,29,6,378,1,10,5,14,42,33,75,60,6,454,90,32,28,137,224,117,52,53,13,271,108,16,103,625,58,96,148,2,930,2835,489,1183,337,226,3092,267,82,163,90,241,407,207,21,35,785,55,46,1574,240,7097,682,284,88,387,254,298,199,68,39156,4130,4485,2583,1021,545,28,81,77,14811,15070,2617,1179,1102,207,41,1231,1267,50,16,184,225,67,169,203,316,61,163,54,46,82,68,43,57,128,174,30,61,131,175,3513,5,16,252,1253,86,37,119,88,36,119,686,1555,463,272,1799,26,62,3910,2754
P6-0-2,7,140,8,121,102,400,321,11,25,57,28,36,100,66,21,73,48,10593,3289,319,12,41,27,17749,11,160,7,10,313,1,21,7,12,95,31,38,8,5,209,67,22,20,78,83,65,39,19,12,252,200,13,389,784,66,160,106,2,1561,5878,1066,1610,270,213,4215,191,132,199,62,297,807,78,7,16,1011,83,33,850,180,3046,246,218,105,326,157,144,162,152,34514,3797,4165,1968,1089,336,26,78,83,11479,10567,1273,535,609,222,33,1026,1278,39,17,179,102,20,111,263,267,94,94,68,47,108,81,59,57,161,150,14,113,96,81,5615,7,24,261,289,301,145,393,164,45,184,390,1168,609,211,1481,15,94,4130,1556
P6-0-3,9,87,6,121,113,538,301,4,26,71,28,37,96,55,25,64,45,11483,3206,351,13,29,20,21504,9,168,11,3,652,0.001,20,14,14,92,23,48,20,6,84,40,29,18,69,44,42,14,12,6,308,139,5,212,693,69,99,131,1,1886,5438,906,1281,271,159,4016,161,111,216,47,337,919,91,16,19,1034,60,31,683,128,2349,159,237,89,426,178,169,145,135,35389,4361,4795,2328,1129,241,30,139,67,12421,11710,1050,400,631,210,34,1108,1525,43,12,221,55,20,33,372,298,73,157,73,57,136,105,100,102,251,113,20,95,132,86,7066,7,12,174,281,216,112,467,169,46,301,674,1766,869,193,1718,8,104,4742,1645
