"ID","gene"
"NZ_CP020659.1:1..6283316","NA"
"gene-Y880_RS00005","rrf"
"rna-Y880_RS00005","rrf"
"exon-Y880_RS00005-1","rrf"
"gene-Y880_RS00010","dnaE2"
"cds-WP_079276210.1","dnaE2"
"gene-Y880_RS00015","NA"
"cds-WP_016253832.1","NA"
"gene-Y880_RS00020","NA"
"cds-WP_073654166.1","NA"
"gene-Y880_RS00025","NA"
"cds-WP_003085321.1","NA"
"gene-Y880_RS00030","NA"
"cds-WP_003455167.1","NA"
"gene-Y880_RS00035","NA"
"cds-WP_003120815.1","NA"
"gene-Y880_RS00040","NA"
"cds-WP_016253831.1","NA"
"gene-Y880_RS00045","NA"
"cds-WP_003106396.1","NA"
"gene-Y880_RS00050","NA"
"cds-WP_003120814.1","NA"
"gene-Y880_RS00055","gspH"
"cds-WP_003106853.1","gspH"
"gene-Y880_RS00060","NA"
"cds-WP_003455151.1","NA"
"gene-Y880_RS00065","gspI"
"cds-WP_003455149.1","gspI"
"gene-Y880_RS00070","gspG"
"cds-WP_003085349.1","gspG"
"gene-Y880_RS00075","NA"
"cds-WP_003106847.1","NA"
"gene-Y880_RS00080","NA"
"cds-Y880_RS00080","NA"
"gene-Y880_RS00085","NA"
"cds-WP_010793838.1","NA"
"gene-Y880_RS00090","gspD"
"cds-Y880_RS00090","gspD"
"gene-Y880_RS00095","gspE"
"cds-WP_095866967.1","gspE"
"gene-Y880_RS00100","gspF"
"cds-Y880_RS00100","gspF"
"gene-Y880_RS00105","NA"
"cds-WP_003116534.1","NA"
"gene-Y880_RS00110","NA"
"cds-WP_003163324.1","NA"
"gene-Y880_RS00115","NA"
"cds-Y880_RS00115","NA"
"gene-Y880_RS00120","NA"
"cds-WP_003098455.1","NA"
"gene-Y880_RS00125","NA"
"cds-WP_016253826.1","NA"
"gene-Y880_RS00130","NA"
"cds-Y880_RS00130","NA"
"gene-Y880_RS00135","NA"
"cds-WP_003085366.1","NA"
"gene-Y880_RS00140","NA"
"cds-WP_014603257.1","NA"
"gene-Y880_RS00145","NA"
"cds-WP_009315218.1","NA"
"gene-Y880_RS00150","NA"
"cds-WP_004352985.1","NA"
"gene-Y880_RS00155","NA"
"cds-WP_095866968.1","NA"
"gene-Y880_RS00160","NA"
"cds-WP_095866969.1","NA"
"gene-Y880_RS00165","NA"
"cds-WP_003110838.1","NA"
"gene-Y880_RS00170","NA"
"cds-WP_003120804.1","NA"
"gene-Y880_RS00175","NA"
"cds-WP_003116524.1","NA"
"gene-Y880_RS00180","NA"
"cds-WP_016253824.1","NA"
"gene-Y880_RS00185","NA"
"cds-WP_016253823.1","NA"
"gene-Y880_RS00190","NA"
"cds-WP_003123054.1","NA"
"gene-Y880_RS00195","NA"
"cds-WP_003112710.1","NA"
"gene-Y880_RS00200","NA"
"cds-WP_003455019.1","NA"
"gene-Y880_RS00205","NA"
"cds-WP_016253822.1","NA"
"gene-Y880_RS00210","NA"
"cds-WP_016253821.1","NA"
"gene-Y880_RS00215","NA"
"cds-WP_003085421.1","NA"
"gene-Y880_RS00220","gloA"
"cds-WP_016253820.1","gloA"
"gene-Y880_RS00225","NA"
"cds-WP_016253819.1","NA"
"gene-Y880_RS00230","NA"
"cds-WP_003085431.1","NA"
"gene-Y880_RS00235","NA"
"cds-WP_003120795.1","NA"
"gene-Y880_RS00240","NA"
"cds-WP_031637502.1","NA"
"gene-Y880_RS00245","NA"
"rna-Y880_RS00245","NA"
"exon-Y880_RS00245-1","NA"
"gene-Y880_RS00250","NA"
"cds-WP_016253817.1","NA"
"gene-Y880_RS00255","NA"
"cds-WP_003085453.1","NA"
"gene-Y880_RS00260","NA"
"cds-Y880_RS00260","NA"
"gene-Y880_RS00265","NA"
"cds-WP_003098362.1","NA"
"gene-Y880_RS00270","NA"
"cds-WP_079276209.1","NA"
"gene-Y880_RS00275","NA"
"cds-WP_016253816.1","NA"
"gene-Y880_RS00280","NA"
"cds-WP_016253815.1","NA"
"gene-Y880_RS00285","NA"
"cds-WP_003098355.1","NA"
"gene-Y880_RS00290","NA"
"cds-WP_003114164.1","NA"
"gene-Y880_RS00295","NA"
"cds-WP_003085479.1","NA"
"gene-Y880_RS00300","NA"
"cds-WP_003098351.1","NA"
"gene-Y880_RS00305","NA"
"cds-Y880_RS00305","NA"
"gene-Y880_RS00310","NA"
"cds-WP_016253814.1","NA"
"gene-Y880_RS00315","NA"
"cds-WP_004353077.1","NA"
"gene-Y880_RS00320","NA"
"cds-WP_003085490.1","NA"
"gene-Y880_RS00325","mmsB"
"cds-Y880_RS00325","mmsB"
"gene-Y880_RS00330","NA"
"cds-WP_003114169.1","NA"
"gene-Y880_RS00335","NA"
"cds-WP_003085498.1","NA"
"gene-Y880_RS00340","NA"
"cds-WP_003116511.1","NA"
"gene-Y880_RS00345","mmsA"
"cds-WP_016253813.1","mmsA"
"gene-Y880_RS00350","NA"
"cds-WP_003106441.1","NA"
"gene-Y880_RS00355","NA"
"cds-WP_003106439.1","NA"
"gene-Y880_RS00360","NA"
"cds-WP_003106436.1","NA"
"gene-Y880_RS00365","NA"
"cds-WP_003114172.1","NA"
"gene-Y880_RS00370","NA"
"cds-WP_003120784.1","NA"
"gene-Y880_RS00375","NA"
"cds-WP_003101933.1","NA"
"gene-Y880_RS00380","NA"
"cds-WP_003085519.1","NA"
"gene-Y880_RS00385","NA"
"cds-WP_003116508.1","NA"
"gene-Y880_RS00390","NA"
"cds-WP_003085524.1","NA"
"gene-Y880_RS00395","NA"
"cds-WP_016253812.1","NA"
"gene-Y880_RS00400","NA"
"cds-WP_003085528.1","NA"
"gene-Y880_RS00405","NA"
"cds-WP_003101947.1","NA"
"gene-Y880_RS00410","NA"
"cds-WP_003085532.1","NA"
"gene-Y880_RS00415","NA"
"cds-WP_003114181.1","NA"
"gene-Y880_RS00420","NA"
"cds-WP_003114182.1","NA"
"gene-Y880_RS00425","rpoE"
"cds-WP_003085543.1","rpoE"
"gene-Y880_RS00430","NA"
"cds-WP_003101958.1","NA"
"gene-Y880_RS00435","NA"
"cds-WP_003101960.1","NA"
"gene-Y880_RS00440","NA"
"cds-WP_003110245.1","NA"
"gene-Y880_RS00445","NA"
"cds-WP_003114183.1","NA"
"gene-Y880_RS00450","NA"
"cds-WP_003085555.1","NA"
"gene-Y880_RS00455","lepB"
"cds-WP_003101969.1","lepB"
"gene-Y880_RS00460","NA"
"cds-WP_003085562.1","NA"
"gene-Y880_RS00465","NA"
"cds-WP_003085565.1","NA"
"gene-Y880_RS00470","NA"
"cds-WP_003085566.1","NA"
"gene-Y880_RS00475","NA"
"cds-WP_003101972.1","NA"
"gene-Y880_RS00480","NA"
"cds-WP_003101974.1","NA"
"gene-Y880_RS00485","cmoB"
"cds-WP_003085573.1","cmoB"
"gene-Y880_RS00490","NA"
"cds-WP_003123029.1","NA"
"gene-Y880_RS00495","NA"
"cds-WP_003085577.1","NA"
"gene-Y880_RS00500","NA"
"cds-WP_003145751.1","NA"
"gene-Y880_RS00505","NA"
"cds-WP_016253811.1","NA"
"gene-Y880_RS00510","lon"
"cds-WP_003101982.1","lon"
"gene-Y880_RS00515","NA"
"cds-WP_003085585.1","NA"
"gene-Y880_RS00520","NA"
"cds-WP_003101985.1","NA"
"gene-Y880_RS00525","NA"
"cds-WP_003085590.1","NA"
"gene-Y880_RS00530","putP"
"cds-WP_003103073.1","putP"
"gene-Y880_RS00535","NA"
"cds-WP_003123025.1","NA"
"gene-Y880_RS00540","NA"
"cds-WP_010793862.1","NA"
"gene-Y880_RS00545","NA"
"cds-WP_003103070.1","NA"
"gene-Y880_RS00550","NA"
"cds-WP_003109755.1","NA"
"gene-Y880_RS00555","NA"
"cds-WP_003123023.1","NA"
"gene-Y880_RS00560","NA"
"cds-WP_009875978.1","NA"
"gene-Y880_RS00565","NA"
"cds-WP_003103066.1","NA"
"gene-Y880_RS00570","NA"
"cds-WP_003159593.1","NA"
"gene-Y880_RS00575","NA"
"cds-WP_003103062.1","NA"
"gene-Y880_RS00580","prpD"
"cds-WP_003103059.1","prpD"
"gene-Y880_RS00585","prpF"
"cds-WP_003103056.1","prpF"
"gene-Y880_RS00590","acnD"
"cds-WP_003085627.1","acnD"
"gene-Y880_RS00595","NA"
"cds-WP_016253810.1","NA"
"gene-Y880_RS00600","NA"
"cds-WP_003085630.1","NA"
"gene-Y880_RS00605","NA"
"cds-WP_003085635.1","NA"
"gene-Y880_RS00610","NA"
"cds-WP_003118644.1","NA"
"gene-Y880_RS00615","NA"
"cds-WP_004348251.1","NA"
"gene-Y880_RS00620","NA"
"cds-WP_003145749.1","NA"
"gene-Y880_RS00625","NA"
"cds-WP_016253809.1","NA"
"gene-Y880_RS00630","NA"
"cds-WP_003103035.1","NA"
"gene-Y880_RS00635","NA"
"cds-WP_003085641.1","NA"
"gene-Y880_RS00640","NA"
"cds-WP_015503436.1","NA"
"gene-Y880_RS00645","NA"
"cds-WP_003085644.1","NA"
"gene-Y880_RS00650","NA"
"cds-WP_016253808.1","NA"
"gene-Y880_RS00655","NA"
"cds-WP_003114198.1","NA"
"gene-Y880_RS00660","NA"
"cds-WP_003085649.1","NA"
"gene-Y880_RS00665","NA"
"cds-Y880_RS00665","NA"
"gene-Y880_RS00670","NA"
"cds-WP_003106623.1","NA"
"gene-Y880_RS00675","NA"
"cds-WP_003085654.1","NA"
"gene-Y880_RS00680","NA"
"cds-WP_003159598.1","NA"
"gene-Y880_RS00685","NA"
"cds-WP_095866970.1","NA"
"gene-Y880_RS00690","NA"
"cds-Y880_RS00690","NA"
"gene-Y880_RS00695","NA"
"cds-WP_003085661.1","NA"
"gene-Y880_RS00700","NA"
"cds-WP_016253805.1","NA"
"gene-Y880_RS00705","NA"
"cds-WP_003114206.1","NA"
"gene-Y880_RS00710","NA"
"cds-WP_003085667.1","NA"
"gene-Y880_RS00715","NA"
